RecAreaID,RecAreaName
1061,Angeles National Forest
1062,Cleveland National Forest
1063,Eldorado National Forest
1064,Inyo National Forest
1065,Klamath National Forest
1066,Lassen National Forest
1067,Los Padres National Forest
1068,Mendocino National Forest
1069,Modoc National Forest
1070,Plumas National Forest
1071,San Bernardino National Forest
1072,Sequoia National Forest
1073,Shasta-Trinity National Forest
1074,Sierra National Forest
1075,Six Rivers National Forest
1076,Stanislaus National Forest
1077,Tahoe National Forest
1078,Shawnee National Forest
1079,Wayne National Forest
1080,Hoosier National Forest
1081,Hiawatha National Forest
1082,Huron-Manistee National Forests
1083,Ottawa National Forest
1084,Chippewa National Forest
1085,Superior National Forest
1086,Mark Twain National Forest
1087,White Mountain National Forest
1088,Allegheny National Forest
1089,Green Mountain & Finger Lakes National Forests
1090,Monongahela National Forest
1091,Chequamegon-Nicolet NF
1092,Coconino National Forest Recreation
1093,Coronado National Forest
1094,Kaibab National Forest
1095,Prescott National Forest
1096,Tonto National Forest
1097,Carson National Forest
1098,Cibola National Forest and Grasslands
1099,Gila National Forest
1100,Lincoln National Forest
1101,Santa Fe National Forest
1102,Columbia River Gorge National Scenic Area
1104,Fremont-Winema National Forest
1105,Malheur National Forest
1106,Mt. Hood National Forest
1108,Rogue River-Siskiyou National Forest
1110,Siuslaw National Forest
1111,Umatilla National Forest
1112,Umpqua National Forest
1113,Wallowa Whitman National Forest
1114,Willamette National Forest
1116,Colville National Forest
1117,Gifford Pinchot National Forest
1118,Mt. Baker-Snoqualmie National Forest
1120,Olympic National Forest
1124,Brekken-Holmes Recreation Area
1125,Devils Lake State Park - Grahams Island State Park
1126,Dickinson Reservoir - Edward Arthur Patterson Lake
1127,Heart Butte Reservoir
1128,Jamestown Reservoir
1129,Altus Lake
1130,Arbuckle Lake
1131,Foss Reservoir
1132,Fort Cobb Reservoir
1133,Lake Thunderbird
1134,McGee Creek Reservoir
1135,Tom Steed Reservoir
1136,Fish Slough Area of Critical Environmental Concern
1137,Agate Reservoir
1138,Beulah Reservoir
1139,Bully Creek Reservoir
1140,Clear Lake
1141,Cold Springs Reservoir
1142,Crane Prairie Reservoir
1143,Crescent Lake
1144,Emigrant Lake
1145,Haystack Reservoir
1146,Henry Hagg Lake
1148,Hyatt Reservoir
1149,Folsom Farm Recreation Site
1150,Fort Meade Recreation Area
1152,McKay Reservoir
1153,Ochoco Reservoir
1154,Owyhee Reservoir Boat Ramp
1155,Phillips Lake
1156,Prineville Reservoir
1158,Unity Reservoir
1159,Warm Springs Reservoir
1160,Wickiup Reservoir
1161,Angostura Reservoir
1162,Galice-Hellgate Back Country Byway
1163,Garden Park Fossil Area
1164,Belle Fourche Reservoir - Rocky Point Recreation Area
1165,Deerfield Reservoir
1166,James Diversion Reservoir
1167,Pactola Reservoir
1168,Shadehill Reservoir
1169,Choke Canyon Reservoir
1170,Lake Texana
1171,Twin Buttes Reservoir
1173,Big Morongo Canyon Preserve
1175,Dos Palmas Preserve
1176,Grave Creek to Marial Back Country Byway
1178,Deer Creek Reservoir
1181,Afton Canyon
1185,East Canyon Reservoir
1186,Echo Reservoir
1188,Hyrum Reservoir
1190,Jordanelle Reservoir
1191,Lost Creek Reservoir
1193,Newton Reservoir
1195,Red Fleet Reservoir
1196,Rockport Reservoir
1197,Rasor Off-Highway Vehicle Area
1198,Grimes Point/Hidden Cave Archaeological Site
1200,Scofield Reservoir
1201,Starvation Reservoir
1203,Steinaker Reservoir
1206,Banks Lake
1207,Billy Clapp Lake
1211,Cle Elum Lake
1213,Conconully Lake/Conconully Reservoir
1214,Desert Wildlife Rec. Area
1215,Easton Diversion Dam
1216,Franklin D. Roosevelt Lake
1221,Keechelus Lake
1222,Potholes Reservoir
1223,Quincy Wildlife Recreation Area
1224,Rimrock Lake
1225,Roza Diversion Dam
1226,Scooteney Reservoir
1227,Spectacle Lake
1228,Alcova Reservoir
1229,Big Sandy Reservoir
1230,Boysen Reservoir
1231,Buffalo Bill Reservoir
1232,Deaver Reservoir
1233,Glendo Reservoir
1234,Grassy Lake
1235,Cow Mountain Recreation Management Area
1237,Juniper Flats
1238,Gray Reef Reservoir
1239,Guernsey Reservoir
1241,Keyhole Reservoir
1242,Kortes Reservoir/Miracle Mile Area
1243,Lake Cameahwait
1245,Ocean Lake
1246,Pathfinder Reservoir
1247,Pilot Butte Reservoir
1248,Ralston Reservoir
1250,Palisades Reservoir
1251,S F Bay Model Regional Visitor Center
1252,Brea Dam
1255,Ernest F. Hollings Ace Basin National Wildlife Refuge
1256,Agassiz National Wildlife Refuge
1257,Alamosa National Wildlife Refuge
1258,Alaska Maritime National Wildlife Refuge
1259,Alaska Peninsula National Wildlife Refuge
1260,Alligator River National Wildlife Refuge
1261,Amagansett National Wildlife Refuge
1262,Anahuac National Wildlife Refuge
1263,Malheur National Wildlife Refuge
1264,Aransas National Wildlife Refuge
1265,Atchafalaya Basin
1266,Bonnet Carre Spillway
1267,Old River Lock
1268,Cache Creek Natural Area
1272,Arapaho National Wildlife Refuge
1273,Archie Carr National Wildlife Refuge
1274,Arctic National Wildlife Refuge
1276,Arrowwood National Wildlife Refuge
1277,Arrowwood Wetland Management District
1278,Arthur R. Marshall Loxahatchee National Wildlife Refuge
1279,Ash Meadows National Wildlife Refuge
1280,Atchafalaya National Wildlife Refuge
1281,Attwater Prairie Chicken National Wildlife Refuge
1282,Audubon National Wildlife Refuge
1284,Back Bay National Wildlife Refuge
1285,Balcones Canyonlands National Wildlife Refuge
1286,Bald Knob National Wildlife Refuge
1287,Bandon Marsh National Wildlife Refuge
1288,Banks Lake National Wildlife Refuge
1289,Baskett Slough National Wildlife Refuge
1290,Bayou Cocodrie National Wildlife Refuge
1291,Bayou Sauvage Urban National Wildlife Refuge
